Nilai;Kurs Jual;Kurs Beli;Tanggal
1;16395.51;16228.12;11/15/2021
1;16470.28;16302.13;11/12/2021
1;16563.15;16395.51;11/11/2021
1;16575.67;16409.32;11/10/2021
1;16594.92;16428.37;11/09/2021
1;16686.42;16516.1;11/08/2021
1;16636.19;16466.38;11/05/2021
1;16653.43;16486.3;11/04/2021
1;16608.28;16440.19;11/03/2021
1;16555.11;16384.72;11/02/2021
1;16596.04;16425.26;11/01/2021
1;16544.64;16374.36;10/29/2021
1;16532.86;16366.94;10/28/2021
1;16529.22;16360.52;10/27/2021
1;16605.82;16437.76;10/26/2021
1;16566.99;16400.74;10/25/2021
1;16538.75;16369.97;10/22/2021
1;16499.37;16329.59;10/21/2021
1;16407.62;16240.15;10/19/2021
1;16429.04;16261.36;10/18/2021
1;16528.93;16358.83;10/15/2021
1;16517.39;16348.79;10/14/2021
1;16519.89;16349.85;10/13/2021
1;16527.46;16357.35;10/12/2021
1;16517.75;16351.98;10/11/2021
1;16542.85;16372.58;10/08/2021
1;16543.84;16373.55;10/07/2021
1;16622.87;16451.8;10/06/2021
1;16667.35;16495.83;10/05/2021
1;16659.66;16488.19;10/04/2021
1;16702.62;16530.73;10/01/2021
1;16778.32;16605.68;9/30/2021
1;16749.53;16577.19;9/29/2021
1;16752.37;16584.26;9/28/2021
1;16810.28;16637.35;9/27/2021
1;16794.44;16621.65;9/24/2021
1;16806.25;16633.35;9/23/2021
1;16800.34;16630.34;9/22/2021
1;16772.8;16600.23;9/21/2021
1;16851.74;16679.82;9/20/2021
1;16850.5;16678.59;9/17/2021
1;16938.69;16764.47;9/16/2021
1;16938.9;16766.1;9/15/2021
1;16898.04;16724.22;9/14/2021
1;16936.63;16766.69;9/13/2021
1;16972.5;16797.94;09/10/2021
1;16956.76;16782.36;09/09/2021
1;16945.13;16772.29;09/08/2021
1;16980.48;16810.11;09/07/2021
1;17018.18;16847.43;09/06/2021
1;17001.86;16831.27;09/03/2021
1;16962.36;16789.32;09/02/2021
1;16999.99;16827.99;09/01/2021
1;17050.46;16876.51;8/31/2021
1;17045.56;16871.65;8/30/2021
1;17052.06;16876.65;8/27/2021
1;17016.94;16841.89;8/26/2021
1;16966.5;16791.95;8/25/2021
1;16994.79;16819.95;8/24/2021
1;16971.15;16800.85;8/23/2021
1;16928.42;16755.68;8/20/2021
1;16943.78;16770.9;8/19/2021
1;17040.91;16867.05;8/18/2021
1;16980.31;16805.62;8/16/2021
1;16990.17;16815.39;8/13/2021
1;16967.78;16797.52;08/12/2021
1;16984.4;16813.97;08/10/2021
1;17058.98;16886.38;08/09/2021
1;17061.51;16890.32;08/06/2021
1;17060.25;16884.79;08/05/2021
1;17153.14;16976.75;08/04/2021
1;17266.86;17089.3;08/03/2021
1;17304.55;17126.61;08/02/2021
1;17298.48;17120.59;7/30/2021
1;17236.89;17059.61;7/29/2021
1;17151.93;16975.5;7/28/2021
1;17165.13;16990.0;7/27/2021
1;17157.39;16982.34;7/26/2021
1;17200.66;17023.74;7/23/2021
1;17228.87;17051.65;7/22/2021
1;17183.14;17006.38;7/21/2021
1;17239.06;17066.08;7/19/2021
1;17270.53;17094.36;7/16/2021
1;17163.95;16987.4;7/15/2021
1;17251.74;17074.32;7/14/2021
1;17283.77;17107.47;7/13/2021
1;17299.26;17121.34;07/12/2021
1;17290.49;17112.65;07/09/2021
1;17236.35;17061.96;07/08/2021
1;17225.94;17051.66;07/07/2021
1;17277.54;17104.18;07/06/2021
1;17316.82;17140.17;07/05/2021
1;17307.56;17129.56;07/02/2021
1;17375.43;17196.75;07/01/2021
1;17343.78;17165.43;6/30/2021
1;17370.33;17194.61;6/29/2021
1;17341.78;17166.35;6/28/2021
1;17335.07;17161.14;6/25/2021
1;17338.56;17160.28;6/24/2021
1;17242.45;17069.45;6/23/2021
1;17276.36;17103.01;6/22/2021
